author;author_type;url;location;floor;floors_count;rooms_count;total_meters;price;year_of_construction;living_meters;kitchen_meters;district;street;underground;residential_complex
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/309085487/;Москва;12;26;4;123,0;130000000;2019;-1,0;-1,0;Кунцево;Рублевское шоссе;Молодёжная;Vander Park
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/309085484/;Москва;3;21;2;66,5;65990000;2017;-1,0;-1,0;Пресненский; Сергея Макеева;Улица 1905 года;RedSide
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/309085480/;Москва;28;29;3;117,0;59000000;2023;-1,0;-1,0;Хорошево-Мневники;Шелепихинская набережная;Народное Ополчение;Sydney City
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/309085474/;Москва;23;43;3;83,5;48490000;2023;-1,0;-1,0;Хорошево-Мневники;Шелепихинская набережная;Народное Ополчение;Sydney City
Дина Медведева;realtor;https://www.cian.ru/sale/flat/309085404/;Москва;14;17;1;38,4;8700000;2014;-1,0;10 ;; Городская;Ольховая;Тройка
Престиж Group;real_estate_agent;https://www.cian.ru/sale/flat/309085303/;Москва;15;42;2;42,5;24850000;-1;-1,0;15,6 ;Котловка;Севастопольский проспект;Крыкая;Eniteo
Салет Плюс Зеленоград;real_estate_agent;https://www.cian.ru/sale/flat/309085295/;Москва;7;14;2;52,3;13500000;1990;30,4 ;8,5 ;Крюково;Зеленоград;Зеленоград — Крюково;
АЯКС;real_estate_agent;https://www.cian.ru/sale/flat/309085178/;Москва;12;31;3;64,7;34900000;-1;22,1 ;25,8 ;Пресненский; Пресненский Вал;Белорусская;Republic
ID 123713117;realtor;https://www.cian.ru/sale/flat/309085171/;Москва;6;6;2;57,3;52500000;2022;-1,0;13 ;Марьина роща;1-я Якая ;Марьина Роща;Преуквартал JAZZ
Монолит Столица;real_estate_agent;https://www.cian.ru/sale/flat/309085138/;Москва;6;6;1;41,2;10260000;2024;13,1 ;17,8 ;;;Потапово;Дзен-кварталы ЖК
ID 118377639;homeowner;https://www.cian.ru/sale/flat/309085032/;Москва;8;10;1;19,0;6750000;-1;-1,0;3 ;Выхино-Жулебино;Рязанский проспект;Выхино;
Upright Estate;real_estate_agent;https://www.cian.ru/sale/flat/309084936/;Москва;1;5;3;80,0;32000000;1954;61 ;7 ;Филевский парк; Олеко Дундича;Филёвский парк;
Татьяна Зрелова;realtor;https://www.cian.ru/sale/flat/309084903/;Москва;2;16;-1;167,0;4980000;1989;-1,0;-1,0;Отрадное; Рикого-Корсакова;Отрадное;
ID 352136;realtor;https://www.cian.ru/sale/flat/309084899/;Москва;30;37;1;34,8;14050000;2010;21 ;10 ;Хорошевский;Хорошевское шоссе;Беговая;Дона Беговой
CENTURY 21 Перспектива;real_estate_agent;https://www.cian.ru/sale/flat/309084891/;Москва;16;17;2;108,9;40990000;2007;50 ;26 ;Лефортово;Наличная ;Лефортово;
Салет плюс - Москва;real_estate_agent;https://www.cian.ru/sale/flat/309084819/;Москва;7;9;3;60,0;12480000;1972;42,8 ;6 ;Рязанский; Федора Полетаева;Рязанский проспект;
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/309077980/;Москва;21;52;4;110,0;76500000;2020;65 ;40 ;Ранки;Мичуринский проспект;Ранки;Небо — Небоскребы на Мичуринско 56
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/309077976/;Москва;5;21;2;65,2;61500000;2023;30 ;24 ;Пресненский;2-я Звенигородская ;Улица 1905 года;Lucky
ID 121220453;homeowner;https://www.cian.ru/sale/flat/309078253/;Москва;2;9;3;75,7;34300000;1958;50,6 ;8 ;Лоносовский;проспект Вернадского;Университет;
ID 12383;realtor;https://www.cian.ru/sale/flat/309077712/;Москва;4;12;1;317,0;8400000;2024;11,9 ;8,8 ;; 3-я Нововатутинская;Ольховая;Новые Ватутинки, р. Центральный
OWNSTONE;real_estate_agent;https://www.cian.ru/sale/flat/309084808/;Москва;26;27;2;85,4;55000000;2021;-1,0;25 ;Хорошево-Мневники;Шелепихинская набережная;Шелепиха;FreeDOM
ОГРК;real_estate_agent;https://www.cian.ru/sale/flat/309084718/;Москва;2;25;1;33,7;10500000;2014;12,7 ;13,6 ;;;Ольховая;
Навигатор;real_estate_agent;https://www.cian.ru/sale/flat/309084716/;Москва;6;17;1;38,9;15999999;1995;8,5 ;19,1 ;Ранки;Мичуринский проспект;Ранки;
Вечерний проспект;real_estate_agent;https://www.cian.ru/sale/flat/309084576/;Москва;7;12;-1;53,0;3300000;1986;31 ;9,5 ;Лианозово;Абраевская ;Лианозово;
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/309084573/;Москва;6;7;3;250,0;230000000;-1;180 ;20 ;Хавники;1-й Зачатьевский переулок;Кропоткинская;
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/309084572/;Москва;4;6;3;170,0;249900000;2006;150 ;15 ;Хавники;Гагаринский переулок;Кропоткинская;Власьевская Слобода
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/309084565/;Москва;10;10;5;212,0;249900000;2002;105,3 ;20,8 ;Тверской;Страстной бульвар;Пушкинская;Особняк в Зачатьевскопереулке
Premium Realty;real_estate_agent;https://www.cian.ru/sale/flat/309084564/;Москва;21;21;5;370,0;129900000;-1;275 ;25 ;Ранки;Минская ;Лоносовский проспект;Золотые Ключи 2
ID 12874745;unknown;https://www.cian.ru/sale/flat/309084560/;Москва;4;22;2;73,0;29000000;2023;-1,0;17,6 ;Лефортово; Крузенштерна;Площадь Ильича;Сиол
ID 4592;realtor;https://www.cian.ru/sale/flat/309084516/;Москва;3;16;2;36,0;10600000;1975;26 ;5 ;Лефортово;Таженный проезд;Серп и Молот;
Капиталъ-Недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/309084514/;Москва;25;34;4;220,0;154784320;-1;-1,0;20 ;Ранки;Мосфильвская ;Лоносовский проспект;Воробьевы Горы
ID 13372813;homeowner;https://www.cian.ru/sale/flat/309084325/;Москва;4;17;1;39,0;12650000;1993;19,1 ;8,6 ;Митино;переулок Ангелов;Пятницкое шоссе;
ГАРАНТ;real_estate_agent;https://www.cian.ru/sale/flat/309084226/;Москва;1;7;4;300,0;300000000;2004;-1,0;20 ;Хавники;Зеедельческий переулок;Киевская;
ГАРАНТ;real_estate_agent;https://www.cian.ru/sale/flat/309084222/;Москва;10;53;3;141,0;84500000;2012;90 ;20 ;Ранки;Мосфильвская ;Лоносовский проспект;Дона Мосфильвской
ГАРАНТ;real_estate_agent;https://www.cian.ru/sale/flat/309084219/;Москва;4;8;4;179,0;400000000;2015;143 ;27 ;Хавники; Ефрева;Спортивная;Knightsbridge Private Park
ГАРАНТ;real_estate_agent;https://www.cian.ru/sale/flat/309084215/;Москва;30;53;3;109,0;68000000;-1;55 ;15 ;Ранки;Мосфильвская ;Лоносовский проспект;Дона Мосфильвской
ГАРАНТ;real_estate_agent;https://www.cian.ru/sale/flat/309084211/;Москва;29;33;3;196,6;232000000;2012;80 ;20 ;Ранки;Мосфильвская ;Лоносовский проспект;Дона Мосфильвской
ГАРАНТ;real_estate_agent;https://www.cian.ru/sale/flat/309084205/;Москва;5;7;4;189,0;168500000;-1;105 ;20 ;Хавники;Сленский бульвар;Сленская;Клубный дона Сленскобульваре
ГАРАНТ;real_estate_agent;https://www.cian.ru/sale/flat/309084203/;Москва;4;7;3;112,2;117900000;2017;64,5 ;12 ;Арбат;Поварская ;Арбатская;De Luxe квартал апартантов Театральный Дом
ГАРАНТ;real_estate_agent;https://www.cian.ru/sale/flat/309084198/;Москва;5;8;3;178,0;169300000;2015;130 ;25 ;Хавники; Ефрева;Спортивная;Knightsbridge Private Park
ГАРАНТ;real_estate_agent;https://www.cian.ru/sale/flat/309084193/;Москва;11;12;4;243,0;346000000;2022;171 ;30 ;Хавники; Усачева;Спортивная;Садовые кварталы
ГАРАНТ;real_estate_agent;https://www.cian.ru/sale/flat/309084189/;Москва;7;7;4;213,0;228900000;2017;120 ;20 ;Арбат;Поварская ;Арбатская;De Luxe квартал апартантов Театральный Дом
Владир Дтриев;realtor;https://www.cian.ru/sale/flat/309084074/;Москва;8;9;1;32,0;9490000;1964;21,5 ;6 ;Кузьнки;Зеленодольская ;Кузьнки;
ID 13069559;unknown;https://www.cian.ru/sale/flat/309084033/;Москва;3;9;2;44,7;11700000;1979;30 ;6,3 ;Косино-Ухтокий;Оренбургская ;Улица Дтриевского;
BELFORT;real_estate_agent;https://www.cian.ru/sale/flat/309083880/;Москва;3;3;3;100,8;250000000;1926;80 ;10 ;Пресненский;Малая Бронная ;Пушкинская;
Мария Ляпунова;realtor;https://www.cian.ru/sale/flat/309083832/;Москва;5;14;2;50,6;14900000;2000;30,8 ;8,4 ;Восточное Дегунино;Бескудниковский бульвар;Верхние Лихоборы;
Престиж Group;real_estate_agent;https://www.cian.ru/sale/flat/309083809/;Москва;20;42;2;45,5;25500000;-1;-1,0;17,4 ;Котловка;Севастопольский проспект;Крыкая;Eniteo
Престиж Group;real_estate_agent;https://www.cian.ru/sale/flat/309083806/;Москва;14;42;2;42,6;24850000;-1;-1,0;15,5 ;Котловка;Севастопольский проспект;Крыкая;Eniteo
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/309083804/;Москва;5;7;4;167,5;140000000;-1;145 ;17,5 ;Заскворечье; Большая Ордынка;Добрынинская;
Простор-недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/309083789/;Москва;5;9;3;60,7;25000000;1943;40,5 ;7 ;Пресненский; Красная Пресня;Краснопресненская;
Простор-недвижисть;real_estate_agent;https://www.cian.ru/sale/flat/309083785/;Москва;4;5;1;37,1;18500000;1959;21,7 ;8 ;Красносельский;3-й Красносельский переулок;Красносельская;
ID 103828368;homeowner;https://www.cian.ru/sale/flat/309083716/;Москва;3;6;3;65,0;18990000;1958;45 ;12 ;Нагатино-Садовники;Нагатинская ;Колонская;
ID 30519;real_estate_agent;https://www.cian.ru/sale/flat/309083692/;Москва;13;14;1;42,0;8990000;-1;21 ;9 ;Орехово-Борисово Северное;Борисовский проезд;Шипиловская;
СР Эстет;real_estate_agent;https://www.cian.ru/sale/flat/309083667/;Москва;1;5;3;80,0;44850000;-1;58 ;8 ;Якинка; Малая Якинка;Полянка;
MOD Estate;real_estate_agent;https://www.cian.ru/sale/flat/309083643/;Москва;10;23;5;196,1;80000000;2000;117,7 ;16,2 ;Гагаринский;Лоносовский проспект;Вавиловская;
ID 115623315;homeowner;https://www.cian.ru/sale/flat/309083467/;Москва;5;9;1;13,0;6200000;-1;9 ;2 ;Очаково-Матвеевское;Аньевское шоссе;Аньевская;MySpace Аньевская
На Петровке;real_estate_agent;https://www.cian.ru/sale/flat/309083417/;Москва;17;17;3;75,9;20500000;2017;44,3 ;12 ;; Бориса Пастернака;Рассказовка;
Isaev Estate;real_estate_agent;https://www.cian.ru/sale/flat/309083384/;Москва;2;24;2;58,0;15300000;2024;35 ;11 ;Северное Изйлово;Щелковское шоссе;Щёлковская;
СТРОЙ ДОМ;real_estate_agent;https://www.cian.ru/sale/flat/309083220/;Москва;12;30;3;83,0;32700000;-1;48 ;23 ;Войковский; Адрала Макарова;Водный стадион;Невский
Департант города Москвы по конкурентной политике;real_estate_agent;https://www.cian.ru/sale/flat/309077337/;Москва;7;24;4;114,7;24211300;-1;-1,0;-1,0;Косино-Ухтокий;Салтыковская ;Улица Дтриевского;
Департант города Москвы по конкурентной политике;real_estate_agent;https://www.cian.ru/sale/flat/309077335/;Москва;17;24;4;114,9;25612500;-1;-1,0;-1,0;Косино-Ухтокий;Салтыковская ;Улица Дтриевского;
Департант города Москвы по конкурентной политике;real_estate_agent;https://www.cian.ru/sale/flat/309077334/;Москва;15;24;4;114,9;24933100;-1;-1,0;-1,0;Косино-Ухтокий;Салтыковская ;Улица Дтриевского;
Департант города Москвы по конкурентной политике;real_estate_agent;https://www.cian.ru/sale/flat/309077314/;Москва;4;13;2;71,7;15128900;-1;-1,0;-1,0;Косино-Ухтокий;Салтыковская ;Улица Дтриевского;
РЕСПЕКТ НЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/309076991/;Москва;12;12;1;35,0;7000000;-1;20 ;10 ;Савёлки;Зеленоград;Зеленоград — Крюково;
